store_id,metro,zone,orders,delivered_orders,cancelled_orders,gmv,net_gmv,sla_hits,stockout_orders,o2d_p50,o2d_p90,sla_hit_pct,cancel_pct,stockout_rate,aov
DS001,Mumbai,Andheri West,3054,2886,168,872481.5,844965.19,2757,388,9.975000000000001,13.495000000000001,0.9553014553014553,0.0550098231827112,0.12704649639816634,302.3151420651421
DS002,Mumbai,Powai,2575,2411,164,722331.96,700747.85,2373,486,12.42,16.08,0.9842389050186644,0.06368932038834951,0.1887378640776699,299.598490253007
DS003,Mumbai,Bandra,2257,2129,128,650658.86,630868.5,2010,277,9.95,13.78,0.9441052137153593,0.056712450155073105,0.1227292866637129,305.6171254109911
DS004,Mumbai,Thane West,2137,1998,139,602572.84,583641.81,1988,246,9.93,13.76,0.994994994994995,0.06504445484323819,0.11511464670098269,301.588008008008
DS005,Delhi NCR,Saket,3237,3034,203,884736.5,860469.11,2914,604,9.934999999999999,13.35,0.96044825313118,0.06271238801359283,0.18659252394192152,291.6072841133817
DS006,Delhi NCR,Gurugram Sec 29,3439,3257,182,997888.02,967328.16,1673,400,9.93,13.524000000000001,0.513662879950875,0.05292236115149753,0.11631288165164291,306.3825667792447
DS007,Delhi NCR,Noida Sec 18,2905,2766,139,847669.35,820235.22,1138,377,12.565000000000001,16.275,0.41142443962400577,0.04784853700516351,0.129776247848537,306.4603579175705
DS008,Delhi NCR,Dwarka,2662,2497,165,759683.01,736916.64,2490,337,9.91,13.444,0.9971966359631558,0.06198347107438017,0.12659654395191586,304.2382899479375
DS009,Bengaluru,Indiranagar,2654,2501,153,772003.91,747523.34,2387,313,9.89,13.46,0.9544182327069173,0.05764883195177091,0.11793519216277318,308.67809276289483
DS010,Bengaluru,Koramangala,3394,3202,192,959339.11,931728.9,2525,397,10.05,13.57,0.7885696439725172,0.05657041838538598,0.1169711255156158,299.606217988757
DS011,Bengaluru,HSR Layout,2120,1980,140,579379.13,562549.48,986,403,10.02,13.84,0.49797979797979797,0.0660377358490566,0.19009433962264152,292.61572222222225
DS012,Hyderabad,Hitech City,2965,2803,162,840283.13,816406.68,1364,352,10.1,13.74,0.4866214769889404,0.05463743676222597,0.11871838111298483,299.77992508027114
DS013,Hyderabad,Banjara Hills,2373,2234,139,666661.54,648073.38,2120,313,10.015,13.65,0.9489704565801254,0.05857564264643911,0.13190054782975136,298.4160877350045
DS014,Pune,Baner,3039,2860,179,839488.27,816809.55,2708,565,10.01,13.582999999999997,0.9468531468531468,0.05890095426127016,0.18591641987495885,293.52736713286714
DS015,Pune,Koregaon Park,2005,1887,118,567191.89,551718.21,1486,261,9.96,13.528,0.7874933757286698,0.05885286783042394,0.13017456359102245,300.5786380498145
DS016,Chennai,Adyar,3810,3594,216,1090475.46,1056471.54,3579,468,9.91,13.49,0.9958263772954925,0.05669291338582677,0.12283464566929134,303.4155425709516
DS017,Chennai,Velachery,3333,3142,191,943845.87,917580.49,2992,397,9.94,13.569,0.9522597071928708,0.05730573057305731,0.11911191119111911,300.39652132399743
