order_date,orders,delivered_orders,cancelled_orders,gmv,net_gmv,discount_amount,sla_hits,stockout_orders,aov,sla_hit_pct,cancel_pct,stockout_rate,o2d_p50,o2d_p90
2025-08-01,1779,1664,115,497008.16,482052.35,29005.62,1479,206,298.68278846153845,0.8888221153846154,0.06464305789769534,0.11579539066891512,9.58,12.76
2025-08-02,1913,1808,105,540418.86,525288.17,30955.63,1584,263,298.90423672566374,0.8761061946902655,0.05488761108207005,0.1374803972817564,9.59,12.743
2025-08-03,1500,1418,82,414142.13,400970.7,26146.27,1191,212,292.06074047954866,0.8399153737658674,0.05466666666666667,0.14133333333333334,10.55,13.523
2025-08-04,1474,1381,93,416600.27,403596.14,24854.13,1232,213,301.6656553222303,0.8921071687183201,0.06309362279511534,0.14450474898236093,9.52,12.77
2025-08-05,1479,1346,133,401358.94,389334.91,24324.01,336,262,298.1864338781575,0.24962852897473997,0.08992562542258282,0.17714672075726842,17.585,20.695
2025-08-06,1538,1443,95,432393.2,418368.48,26174.61,1293,212,299.64878724878724,0.896049896049896,0.06176853055916775,0.1378413524057217,9.56,12.828
2025-08-07,1468,1375,93,421532.17,407940.94,25191.34,1222,194,306.5688509090909,0.8887272727272727,0.06335149863760219,0.13215258855585832,9.71,12.606000000000002
2025-08-08,1933,1825,108,548415.36,532782.65,32132.78,1630,249,300.50156712328766,0.8931506849315068,0.05587170201758924,0.1288153129849974,9.71,12.62
2025-08-09,1817,1702,115,507126.09,492366.09,29460.1,1518,242,297.9589247943596,0.8918918918918919,0.06329113924050633,0.13318657127132635,9.475000000000001,12.569
2025-08-10,1499,1412,87,438121.94,423072.0,26624.98,953,204,310.28466005665723,0.6749291784702549,0.058038692461641096,0.13609072715143428,12.754999999999999,15.839
2025-08-11,1422,1348,74,406293.82,393595.22,24498.69,1203,205,301.4049109792285,0.892433234421365,0.052039381153305204,0.1441631504922644,9.575,12.665999999999999
2025-08-12,1452,1365,87,423448.89,412015.1,23483.7,1131,184,310.21896703296704,0.8285714285714286,0.05991735537190083,0.12672176308539945,10.64,13.556000000000003
2025-08-13,1475,1389,86,419561.47,406883.62,24702.79,1229,203,302.0600935925126,0.884809215262779,0.05830508474576271,0.1376271186440678,9.55,12.63
2025-08-14,1420,1354,66,404295.05,391826.0,24319.26,914,195,298.59309453471195,0.6750369276218612,0.04647887323943662,0.13732394366197184,12.58,15.87
2025-08-15,1869,1767,102,531110.97,516902.42,30358.53,1571,242,300.57213921901524,0.88907753254103,0.05457463884430177,0.12948100588550027,9.58,12.674000000000001
2025-08-16,1783,1677,106,494507.95,480634.47,28248.48,1508,248,294.87653548002385,0.8992248062015504,0.05945036455412227,0.13909141895681434,9.59,12.574000000000002
2025-08-17,1435,1343,92,415567.09,405634.56,21707.54,1184,205,309.43193596425914,0.8816083395383469,0.06411149825783972,0.14285714285714285,9.68,12.588
2025-08-18,1505,1415,90,434296.11,421203.66,25042.46,1267,192,306.92304593639574,0.8954063604240282,0.059800664451827246,0.12757475083056477,9.53,12.656000000000002
2025-08-19,1469,1374,95,410251.09,398372.75,24703.1,1231,177,298.58157933042213,0.895924308588064,0.06466984343090537,0.12049012933968686,9.43,12.457
2025-08-20,1550,1490,60,445221.15,432108.94,25937.17,1015,205,298.80614093959736,0.6812080536912751,0.03870967741935484,0.13225806451612904,12.625,15.802000000000003
2025-08-21,1395,1318,77,394521.81,383839.39,22207.37,1186,179,299.33369499241275,0.8998482549317147,0.055197132616487454,0.12831541218637993,9.52,12.723
2025-08-22,1811,1721,90,501088.41,487671.62,29241.89,1393,259,291.1611911679256,0.8094131319000581,0.04969630038652678,0.14301490889011595,10.57,13.79
2025-08-23,1849,1736,113,526707.48,511118.33,30489.46,1563,234,303.4029262672811,0.9003456221198156,0.061114115738236885,0.1265548945375879,9.495000000000001,12.565000000000001
2025-08-24,1448,1369,79,415823.52,404061.71,23911.98,1222,199,303.74252739225716,0.8926223520818115,0.054558011049723756,0.13743093922651933,9.69,12.73
2025-08-25,1547,1473,74,437943.75,424334.47,26309.32,1207,210,297.3141547861507,0.8194161575016972,0.04783451842275371,0.13574660633484162,10.63,13.808
2025-08-26,1455,1377,78,414835.4,403049.1,24261.46,1211,227,301.2602759622368,0.879448075526507,0.05360824742268041,0.15601374570446735,9.65,12.704
2025-08-27,1496,1409,87,426649.52,413160.29,25539.04,1243,226,302.80306600425837,0.8821859474804826,0.05815508021390375,0.15106951871657753,9.75,12.91
2025-08-28,1405,1318,87,408374.16,396355.85,23368.18,1152,199,309.8438239757208,0.874051593323217,0.06192170818505338,0.14163701067615658,9.625,12.93
2025-08-29,1905,1792,113,535761.12,518782.53,33153.62,1164,258,298.9738392857143,0.6495535714285714,0.05931758530183727,0.13543307086614173,12.45,15.539
2025-08-30,1868,1772,96,533314.47,516711.59,32027.54,1458,280,300.96753386004514,0.8227990970654627,0.05139186295503212,0.14989293361884368,10.59,13.77
