metro,zone,orders,gmv,sla_hit_pct,cancel_pct,stockout_rate,o2d_p50
Bengaluru,HSR Layout,2120,579379.13,0.4650943396226415,0.0660377358490566,0.19009433962264152,10.02
Bengaluru,Indiranagar,2654,772003.91,0.89939713639789,0.05764883195177091,0.11793519216277318,9.89
Bengaluru,Koramangala,3394,959339.11,0.7439599292869771,0.05657041838538598,0.1169711255156158,10.05
Chennai,Adyar,3810,1090475.46,0.9393700787401574,0.05669291338582677,0.12283464566929134,9.91
Chennai,Velachery,3333,943845.87,0.8976897689768977,0.05730573057305731,0.11911191119111911,9.94
Delhi NCR,Dwarka,2662,759683.01,0.9353869271224643,0.06198347107438017,0.12659654395191586,9.91
Delhi NCR,Gurugram Sec 29,3439,997888.02,0.48647862750799653,0.05292236115149753,0.11631288165164291,9.93
Delhi NCR,Noida Sec 18,2905,847669.35,0.39173838209982786,0.04784853700516351,0.129776247848537,12.565000000000001
Delhi NCR,Saket,3237,884736.5,0.90021624961384,0.06271238801359283,0.18659252394192152,9.934999999999999
Hyderabad,Banjara Hills,2373,666661.54,0.8933839022334598,0.05857564264643911,0.13190054782975136,10.015
Hyderabad,Hitech City,2965,840283.13,0.4600337268128162,0.05463743676222597,0.11871838111298483,10.1
Mumbai,Andheri West,3054,872481.5,0.9027504911591355,0.0550098231827112,0.12704649639816634,9.975000000000001
Mumbai,Bandra,2257,650658.86,0.8905626938413823,0.056712450155073105,0.1227292866637129,9.95
Mumbai,Powai,2575,722331.96,0.9215533980582524,0.06368932038834951,0.1887378640776699,12.42
Mumbai,Thane West,2137,602572.84,0.930276087973795,0.06504445484323819,0.11511464670098269,9.93
Pune,Baner,3039,839488.27,0.8910825929582099,0.05890095426127016,0.18591641987495885,10.01
Pune,Koregaon Park,2005,567191.89,0.7411471321695761,0.05885286783042394,0.13017456359102245,9.96
