rider_id,deliveries,avg_o2d,sla_hit_pct,store_id,shift,vehicle,active,util_pct
R0001,224,10.234955357142857,0.9553571428571429,DS001,C,Bike,True,0.49777777777777776
R0002,220,10.090454545454547,0.9590909090909091,DS001,B,Bike,True,0.4888888888888889
R0003,202,10.113069306930692,0.9653465346534653,DS001,C,Scooter,True,0.4488888888888889
R0004,221,10.23868778280543,0.9502262443438914,DS001,B,EV,True,0.4911111111111111
R0005,211,10.35616113744076,0.943127962085308,DS001,A,Bike,True,0.4688888888888889
R0006,203,10.237339901477831,0.9556650246305419,DS001,B,Bike,True,0.45111111111111113
R0007,200,10.80105,0.93,DS001,C,Scooter,True,0.4444444444444444
R0008,197,10.280659898477158,0.9441624365482234,DS001,C,Bike,True,0.43777777777777777
R0009,197,10.00522842639594,0.9847715736040609,DS001,C,Scooter,True,0.43777777777777777
R0010,196,9.933928571428572,0.9540816326530612,DS001,A,Bike,True,0.43555555555555553
R0011,195,9.772769230769232,0.958974358974359,DS001,A,Bike,True,0.43333333333333335
R0012,200,9.9839,0.96,DS001,C,Bike,True,0.4444444444444444
R0013,219,10.084703196347032,0.954337899543379,DS001,C,Bike,True,0.4866666666666667
R0014,201,10.182487562189054,0.9601990049751243,DS001,C,Bike,True,0.44666666666666666
R0015,207,12.476135265700483,0.9855072463768116,DS002,A,Bike,True,0.46
R0016,195,12.501435897435899,0.9897435897435898,DS002,B,Bike,True,0.43333333333333335
R0017,184,12.570380434782608,0.9782608695652174,DS002,A,Bike,True,0.4088888888888889
R0018,219,12.640639269406394,0.9954337899543378,DS002,C,Scooter,True,0.4866666666666667
R0019,209,12.280956937799042,0.9856459330143541,DS002,A,Scooter,True,0.46444444444444444
R0020,186,12.89698924731183,0.978494623655914,DS002,C,Bike,True,0.41333333333333333
R0021,192,13.054895833333333,0.9635416666666666,DS002,B,Bike,True,0.4266666666666667
R0022,196,13.184540816326532,0.9795918367346939,DS002,C,EV,True,0.43555555555555553
R0023,220,12.437,0.9954545454545455,DS002,C,Bike,True,0.4888888888888889
R0024,201,12.550248756218904,0.9900497512437811,DS002,B,Bike,True,0.44666666666666666
R0025,203,12.570492610837437,0.9852216748768473,DS002,A,Bike,True,0.45111111111111113
R0026,199,12.722914572864322,0.9798994974874372,DS002,B,Bike,True,0.44222222222222224
R0027,166,9.968072289156627,0.9819277108433735,DS003,A,Bike,True,0.3688888888888889
R0028,181,9.967734806629835,0.9502762430939227,DS003,A,Bike,True,0.4022222222222222
R0029,183,10.022295081967213,0.9562841530054644,DS003,C,Scooter,True,0.4066666666666667
R0030,159,10.301132075471699,0.9433962264150944,DS003,A,Bike,True,0.35333333333333333
R0031,198,10.243080808080808,0.9545454545454546,DS003,B,Bike,True,0.44
R0032,185,10.544162162162163,0.9405405405405406,DS003,C,Scooter,True,0.4111111111111111
R0033,196,10.190510204081633,0.9591836734693877,DS003,C,EV,True,0.43555555555555553
R0034,185,10.678378378378378,0.8918918918918919,DS003,C,Scooter,True,0.4111111111111111
R0035,168,10.193809523809524,0.9642857142857143,DS003,B,Scooter,True,0.37333333333333335
R0036,165,10.486363636363636,0.9212121212121213,DS003,C,Scooter,True,0.36666666666666664
R0037,180,10.075666666666667,0.95,DS003,C,Bike,True,0.4
R0038,163,10.49638036809816,0.9141104294478528,DS003,A,Bike,True,0.3622222222222222
R0039,167,9.819520958083832,0.9940119760479041,DS004,C,Bike,True,0.3711111111111111
R0040,143,10.012937062937063,1.0,DS004,C,Scooter,True,0.31777777777777777
R0041,155,10.32658064516129,1.0,DS004,B,Bike,True,0.34444444444444444
R0042,132,10.40840909090909,0.9924242424242424,DS004,A,Bike,True,0.29333333333333333
R0043,114,10.901140350877194,0.9912280701754386,DS004,A,Bike,True,0.25333333333333335
R0044,126,10.354603174603175,1.0,DS004,B,Bike,True,0.28
R0045,130,10.505307692307692,0.9923076923076923,DS004,A,Bike,True,0.28888888888888886
R0046,132,9.887045454545454,0.9848484848484849,DS004,C,Bike,True,0.29333333333333333
R0047,134,10.71231343283582,0.9850746268656716,DS004,A,Scooter,True,0.29777777777777775
R0048,124,9.826370967741935,1.0,DS004,A,EV,True,0.27555555555555555
R0049,127,10.338582677165354,1.0,DS004,A,EV,True,0.2822222222222222
R0050,150,10.142466666666666,1.0,DS004,C,Bike,True,0.3333333333333333
R0051,125,9.894879999999999,1.0,DS004,B,Bike,True,0.2777777777777778
R0052,121,10.11198347107438,1.0,DS004,C,Scooter,True,0.2688888888888889
R0053,118,10.342033898305084,0.9830508474576272,DS004,C,Scooter,True,0.26222222222222225
R0054,280,9.978678571428572,0.975,DS005,B,Scooter,True,0.6222222222222222
R0055,289,10.153183391003461,0.9653979238754326,DS005,A,Scooter,True,0.6422222222222222
R0056,248,10.051532258064517,0.9758064516129032,DS005,A,Bike,True,0.5511111111111111
R0057,240,10.138416666666666,0.9625,DS005,B,EV,True,0.5333333333333333
R0058,268,9.87813432835821,0.9664179104477612,DS005,C,Bike,True,0.5955555555555555
R0059,228,10.429912280701755,0.9473684210526315,DS005,C,Bike,True,0.5066666666666667
R0060,243,10.12753086419753,0.9547325102880658,DS005,B,Scooter,True,0.54
R0061,262,9.905534351145038,0.9541984732824428,DS005,B,EV,True,0.5822222222222222
R0062,245,9.97265306122449,0.9510204081632653,DS005,A,Bike,True,0.5444444444444444
R0063,227,10.529867841409693,0.947136563876652,DS005,C,Scooter,True,0.5044444444444445
R0064,267,10.204269662921348,0.9588014981273408,DS005,C,Scooter,True,0.5933333333333334
R0065,237,9.7768776371308,0.9620253164556962,DS005,B,Scooter,True,0.5266666666666666
R0066,236,10.111906779661016,0.5423728813559322,DS006,C,Bike,True,0.5244444444444445
R0067,246,10.564918699186991,0.4796747967479675,DS006,C,Scooter,True,0.5466666666666666
R0068,228,10.139429824561404,0.543859649122807,DS006,A,Scooter,True,0.5066666666666667
R0069,254,10.356417322834647,0.49606299212598426,DS006,A,Bike,True,0.5644444444444444
R0070,238,10.084915966386555,0.5336134453781513,DS006,A,Scooter,True,0.5288888888888889
R0071,219,10.05689497716895,0.5388127853881278,DS006,B,Bike,True,0.4866666666666667
R0072,209,9.780287081339713,0.5550239234449761,DS006,C,Scooter,True,0.46444444444444444
R0073,225,10.350844444444444,0.4622222222222222,DS006,B,Scooter,True,0.5
R0074,233,10.020343347639484,0.5622317596566524,DS006,B,Scooter,True,0.5177777777777778
R0075,240,10.373083333333334,0.4666666666666667,DS006,B,EV,True,0.5333333333333333
R0076,222,9.933558558558559,0.49099099099099097,DS006,C,Bike,True,0.49333333333333335
R0077,232,10.266594827586207,0.521551724137931,DS006,A,Bike,True,0.5155555555555555
R0078,248,10.303588709677419,0.47580645161290325,DS006,B,Bike,True,0.5511111111111111
R0079,227,9.910572687224668,0.5330396475770925,DS006,B,Scooter,True,0.5044444444444445
R0080,322,12.65667701863354,0.4192546583850932,DS007,C,Bike,True,0.7155555555555555
R0081,291,12.632302405498281,0.41237113402061853,DS007,C,Scooter,True,0.6466666666666666
R0082,311,12.903729903536977,0.3954983922829582,DS007,C,Bike,True,0.6911111111111111
R0083,299,12.71267558528428,0.38127090301003347,DS007,C,Bike,True,0.6644444444444444
R0084,309,13.099611650485437,0.4045307443365696,DS007,B,Bike,True,0.6866666666666666
R0085,330,12.612333333333332,0.44242424242424244,DS007,C,EV,True,0.7333333333333333
R0086,282,12.952304964539008,0.3971631205673759,DS007,A,Bike,True,0.6266666666666667
R0087,296,12.631722972972971,0.43243243243243246,DS007,C,Scooter,True,0.6577777777777778
R0088,326,12.782453987730062,0.41411042944785276,DS007,B,Scooter,True,0.7244444444444444
R0089,145,10.373172413793103,0.993103448275862,DS008,C,Scooter,True,0.32222222222222224
R0090,158,10.055696202531646,1.0,DS008,B,Bike,True,0.3511111111111111
R0091,160,9.962125,1.0,DS008,B,EV,True,0.35555555555555557
R0092,163,10.101472392638037,1.0,DS008,A,EV,True,0.3622222222222222
R0093,187,10.311336898395721,0.9946524064171123,DS008,C,Bike,True,0.41555555555555557
R0094,164,10.395426829268292,1.0,DS008,A,Scooter,True,0.36444444444444446
R0095,176,10.241534090909092,0.9943181818181818,DS008,C,Bike,True,0.39111111111111113
R0096,185,10.283027027027027,0.9945945945945946,DS008,B,Scooter,True,0.4111111111111111
R0097,157,10.379108280254776,1.0,DS008,B,Bike,True,0.3488888888888889
R0098,180,9.826666666666666,1.0,DS008,A,Scooter,True,0.4
R0099,176,10.176590909090908,0.9943181818181818,DS008,B,Bike,True,0.39111111111111113
R0100,157,10.150254777070064,0.9936305732484076,DS008,C,Bike,True,0.3488888888888889
R0101,166,9.958855421686748,1.0,DS008,B,Bike,True,0.3688888888888889
R0102,149,10.334765100671142,0.9932885906040269,DS008,B,Scooter,True,0.33111111111111113
R0103,174,9.76712643678161,1.0,DS008,C,Bike,True,0.38666666666666666
R0104,226,10.21716814159292,0.9292035398230089,DS009,C,EV,True,0.5022222222222222
R0105,262,10.624656488549618,0.9198473282442748,DS009,C,Scooter,True,0.5822222222222222
R0106,234,9.925213675213675,0.9871794871794872,DS009,A,Bike,True,0.52
R0107,227,9.917709251101323,0.9691629955947136,DS009,B,Scooter,True,0.5044444444444445
R0108,236,10.4485593220339,0.9491525423728814,DS009,C,Scooter,True,0.5244444444444445
R0109,235,9.916170212765959,0.9617021276595744,DS009,B,EV,True,0.5222222222222223
R0110,220,10.0945,0.9454545454545454,DS009,A,Bike,True,0.4888888888888889
R0111,220,10.011954545454547,0.95,DS009,A,Bike,True,0.4888888888888889
R0112,190,9.978315789473683,0.9736842105263158,DS009,A,Scooter,True,0.4222222222222222
R0113,247,9.817287449392712,0.9757085020242915,DS009,C,EV,True,0.5488888888888889
R0114,204,10.226372549019606,0.9411764705882353,DS009,A,Scooter,True,0.4533333333333333
R0115,242,10.444628099173553,0.756198347107438,DS010,A,Bike,True,0.5377777777777778
R0116,199,10.41748743718593,0.7738693467336684,DS010,A,Scooter,True,0.44222222222222224
R0117,222,9.955000000000002,0.8108108108108109,DS010,A,Scooter,True,0.49333333333333335
